"module name","license","repository"
"@apideck/better-ajv-errors@0.3.7","MIT","https://github.com/apideck-libraries/better-ajv-errors"
"@asamuzakjp/css-color@5.1.11","MIT","https://github.com/asamuzaK/cssColor"
"@asamuzakjp/dom-selector@7.1.1","MIT","https://github.com/asamuzaK/domSelector"
"@asamuzakjp/generational-cache@1.0.1","MIT","https://github.com/asamuzaK/generationalCache"
"@asamuzakjp/nwsapi@2.3.9","MIT","https://github.com/dperini/nwsapi"
"@babel/code-frame@7.29.7","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.29.7","MIT","https://github.com/babel/babel"
"@babel/core@7.29.7","MIT","https://github.com/babel/babel"
"@babel/generator@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-create-class-features-plugin@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-create-regexp-features-plugin@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-define-polyfill-provider@0.6.8","MIT","https://github.com/babel/babel-polyfills"
"@babel/helper-globals@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-remap-async-to-generator@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-skip-transparent-expression-wrappers@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helper-wrap-function@7.29.7","MIT","https://github.com/babel/babel"
"@babel/helpers@7.29.7","MIT","https://github.com/babel/babel"
"@babel/parser@7.29.7","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-firefox-class-in-computed-class-key@7.29.7","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-safari-class-field-initializer-scope@7.29.7","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression@7.29.7","MIT","https://github.com/babel/babel"
